,País,Ano,Quantidade,Valor
246,Moldávia,2011,0,0
247,Montenegro,2011,0,0
248,Noruega,2011,0,0
249,Nova Zelândia,2011,151194,1267863
250,Países Baixos (Holanda),2011,0,0
251,Panamá,2011,0,0
252,Peru,2011,0,0
253,Porto Rico,2011,0,0
254,Portugal,2011,8556375,35247223
255,Reino Unido,2011,270,6021
256,Republica Dominicana,2011,0,0
257,Romênia,2011,0,0
258,Rússia,2011,0,0
259,San Marino,2011,0,0
260,Sérvia,2011,0,0
261,Síria,2011,0,0
262,Suazilândia,2011,0,0
263,Suíça,2011,0,0
264,"Tcheca, República",2011,0,0
265,Tunísia,2011,16420,37492
266,Turquia,2011,0,0
267,Ucrânia,2011,0,0
268,Uruguai,2011,1264306,3481552
269,Não consta na tabela,2011,0,0
270,Não declarados,2011,0,0
271,Outros,2011,0,0
272,Africa do Sul,2012,722327,3041449
273,Alemanha,2012,113243,591167
274,Argélia,2012,0,0
275,Arábia Saudita,2012,0,0
276,Argentina,2012,14613839,55633562
277,Armênia,2012,0,0
278,Austrália,2012,615334,2474783
279,Áustria,2012,8098,85116
280,Bermudas,2012,0,0
281,Bélgica,2012,0,0
282,Bolívia,2012,0,0
283,Bósnia-Herzegovina,2012,0,0
284,Brasil,2012,1051,15016
285,Bulgária,2012,0,0
286,Canada,2012,0,0
287,Chile,2012,30258795,93315735
288,China,2012,0,0
289,"Coreia do Sul, República",2012,0,0
290,Croácia,2012,630,16571
291,Cuba,2012,0,0
292,Emirados Árabes Unidos,2012,0,0
293,Eslovênia,2012,433,1223
294,Eslováquia,2012,0,0
295,Espanha,2012,2540209,11724946
296,Estados Unidos,2012,379329,1995929
297,França,2012,3181440,21636175
298,Geórgia,2012,0,0
299,"Geórgia do Sul e Sandwich do Sul, Ilhas",2012,0,0
300,Grécia,2012,68966,323206
301,Hong Kong,2012,0,0
302,Hungria,2012,10404,168862
303,Indonésia,2012,0,0
304,Irlanda,2012,0,0
305,Israel,2012,8439,47579
306,Itália,2012,10506144,30750897
307,Japão,2012,0,0
308,Iugoslávia,2012,0,0
309,Líbano,2012,5805,47826
310,Luxemburgo,2012,0,0
311,Macedônia,2012,0,0
312,Marrocos,2012,450,3851
313,México,2012,0,0
314,Moldávia,2012,0,0
315,Montenegro,2012,0,0
316,Noruega,2012,0,0
317,Nova Zelândia,2012,81611,790355
318,Países Baixos (Holanda),2012,0,0
319,Panamá,2012,0,0
320,Peru,2012,0,0
321,Porto Rico,2012,0,0
322,Portugal,2012,9714940,36190898
323,Reino Unido,2012,406,26466
324,Republica Dominicana,2012,0,0
325,Romênia,2012,33750,85321
326,Rússia,2012,0,0
327,San Marino,2012,0,0
328,Sérvia,2012,0,0
329,Síria,2012,0,0
330,Suazilândia,2012,0,0
331,Suíça,2012,0,0
332,"Tcheca, República",2012,0,0
333,Tunísia,2012,19913,42918
334,Turquia,2012,0,0
335,Ucrânia,2012,0,0
336,Uruguai,2012,1323884,3735892
337,Não consta na tabela,2012,0,0
338,Não declarados,2012,0,0
339,Outros,2012,0,0
340,Africa do Sul,2013,475331,1985184
341,Alemanha,2013,114866,414070
342,Argélia,2013,0,0
343,Arábia Saudita,2013,0,0
344,Argentina,2013,12732815,49524694
345,Armênia,2013,0,0
346,Austrália,2013,553190,1703815
347,Áustria,2013,56849,227204
348,Bermudas,2013,0,0
349,Bélgica,2013,0,0
350,Bolívia,2013,0,0
351,Bósnia-Herzegovina,2013,0,0
352,Brasil,2013,473,5747
353,Bulgária,2013,5947,21988
354,Canada,2013,0,0
355,Chile,2013,28288212,90281256
356,China,2013,0,0
357,"Coreia do Sul, República",2013,0,0
358,Croácia,2013,0,0
359,Cuba,2013,0,0
360,Emirados Árabes Unidos,2013,0,0
361,Eslovênia,2013,2192,25307
362,Eslováquia,2013,0,0
363,Espanha,2013,2772104,13570874
364,Estados Unidos,2013,518888,2817086
365,França,2013,3265362,23336291
366,Geórgia,2013,33750,134202
367,"Geórgia do Sul e Sandwich do Sul, Ilhas",2013,0,0
368,Grécia,2013,13241,71175
369,Hong Kong,2013,0,0
370,Hungria,2013,10911,140198
