,Categoria,Nome Produto,Tipo,Ano,Total_Produzido,Total_Comercializado
462,vinho,vinho composto,derivado,2016,0,377685
463,outros,pisco,derivado,2016,0,0
464,vinho,vinho orgânico,derivado,2016,0,0
465,espumante,espumante orgânico,derivado,2016,0,0
466,outros,destilado alcoólico simples de bagaceira ,derivado,2016,0,0
467,vinho,vinho acidificado ,derivado,2016,0,0
468,outros,mosto parcialmente fermentado ,derivado,2016,0,0
469,outros,outros derivados,derivado,2016,0,0
470,vinho,tinto,vinho mesa,2017,1365957,154309442
471,vinho,branco,vinho mesa,2017,217527985,20653091
472,vinho,rosado,vinho mesa,2017,36121245,1097426
473,vinho,tinto,vinho fino vinífera,2017,21442212,12021684
474,vinho,branco,vinho fino vinífera,2017,21928400,3670590
475,vinho,rosado,vinho fino vinífera,2017,1167258,182080
476,suco,suco de uva integral,suco de uva,2017,46865626,0
477,suco,suco de uva concentrado,suco de uva,2017,30059271,0
478,suco,suco de uva adoçado,suco de uva,2017,177774,0
479,suco,suco de uva orgânico,suco de uva,2017,0,0
480,suco,suco de uva reconstituído,suco de uva,2017,59300,0
481,espumante,espumante,derivado,2017,11280,0
482,espumante,espumante moscatel,derivado,2017,152375,5561181
483,espumante,base espumante,derivado,2017,0,139070
484,espumante,base espumante moscatel,derivado,2017,1965629,0
485,outros,base champenoise champanha,derivado,2017,1552403,0
486,outros,base charmat champanha,derivado,2017,893364,0
487,outros,bebida de uva,derivado,2017,0,0
488,outros,polpa de uva,derivado,2017,2507125,0
489,outros,mosto simples,derivado,2017,101010116,0
490,outros,mosto concentrado,derivado,2017,0,0
491,outros,mosto de uva com bagaço,derivado,2017,772110,0
492,outros,mosto dessulfitado,derivado,2017,0,0
493,outros,mistelas,derivado,2017,1500,1194
494,outros,néctar de uva,derivado,2017,3000,0
495,outros,licorosos,derivado,2017,110820,0
496,outros,compostos,derivado,2017,0,0
497,outros,jeropiga,derivado,2017,0,508
498,outros,filtrado,derivado,2017,0,0
499,outros,frisante,derivado,2017,0,0
500,vinho,vinho leve,derivado,2017,0,0
501,vinho,vinho licoroso,derivado,2017,110820,496746
502,outros,brandy,derivado,2017,0,5089
503,outros,destilado,derivado,2017,0,0
504,outros,bagaceira,derivado,2017,900,9257
505,outros,licor de bagaceira,derivado,2017,0,0
506,outros,vinagre,derivado,2017,25319,0
507,outros,borra líquida,derivado,2017,0,0
508,outros,borra seca,derivado,2017,0,4970
509,vinho,vinho composto,derivado,2017,0,485944
510,outros,pisco,derivado,2017,0,0
511,vinho,vinho orgânico,derivado,2017,0,0
512,espumante,espumante orgânico,derivado,2017,0,0
513,outros,destilado alcoólico simples de bagaceira ,derivado,2017,0,0
514,vinho,vinho acidificado ,derivado,2017,0,0
515,outros,mosto parcialmente fermentado ,derivado,2017,0,0
516,outros,outros derivados,derivado,2017,0,0
517,vinho,tinto,vinho mesa,2018,188270142,155115499
518,vinho,branco,vinho mesa,2018,29229970,20097830
519,vinho,rosado,vinho mesa,2018,875524,1972944
520,vinho,tinto,vinho fino vinífera,2018,19118254,11150517
521,vinho,branco,vinho fino vinífera,2018,18297257,3413196
522,vinho,rosado,vinho fino vinífera,2018,1291709,262430
523,suco,suco de uva integral,suco de uva,2018,34367996,0
524,suco,suco de uva concentrado,suco de uva,2018,31099910,0
525,suco,suco de uva adoçado,suco de uva,2018,0,0
526,suco,suco de uva orgânico,suco de uva,2018,0,0
527,suco,suco de uva reconstituído,suco de uva,2018,0,0
528,espumante,espumante,derivado,2018,68500,0
529,espumante,espumante moscatel,derivado,2018,326200,6526075
530,espumante,base espumante,derivado,2018,0,109200
531,espumante,base espumante moscatel,derivado,2018,1320650,0
532,outros,base champenoise champanha,derivado,2018,228518,0
533,outros,base charmat champanha,derivado,2018,1746540,0
534,outros,bebida de uva,derivado,2018,0,0
535,outros,polpa de uva,derivado,2018,2112683,0
536,outros,mosto simples,derivado,2018,88910980,0
537,outros,mosto concentrado,derivado,2018,0,0
538,outros,mosto de uva com bagaço,derivado,2018,0,0
539,outros,mosto dessulfitado,derivado,2018,0,0
540,outros,mistelas,derivado,2018,2000,1902
541,outros,néctar de uva,derivado,2018,0,0
542,outros,licorosos,derivado,2018,0,0
543,outros,compostos,derivado,2018,0,0
544,outros,jeropiga,derivado,2018,0,173
545,outros,filtrado,derivado,2018,0,0
546,outros,frisante,derivado,2018,0,0
547,vinho,vinho leve,derivado,2018,8000,198
548,vinho,vinho licoroso,derivado,2018,124303,491165
549,outros,brandy,derivado,2018,0,4652
550,outros,destilado,derivado,2018,680,82
